ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
1181;A_26;0;289: G+1.5W6;1;145: 1.35G+1.5W7+1.5Q+0.75S;-68;299: G+1.5W7+0.75S;49;101: 1.35G+1.5W2+1.5Q;323;306: G+1.5W8+1.5Q;760;62: 1.35G+1.5S2+0.9W5;;;;;;;
1380;K_26;0;305: G+1.5W8;1;129: 1.35G+1.5W5+1.5Q+0.75S;-54;101: 1.35G+1.5W2+1.5Q;70;283: G+1.5W5+0.75S;323;290: G+1.5W6+1.5Q;761;64: 1.35G+1.5S2+0.9W7;;;;;;;
995;A_31;0;305: G+1.5W8;1;97: 1.35G+1.5W+1.5Q+0.75S;-45;146: 1.35G+1.5W7+1.5Q+0.75S2;52;257: G+1.5W2;492;305: G+1.5W8;843;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
1385;K_31;0;289: G+1.5W6;1;97: 1.35G+1.5W+1.5Q+0.75S;-50;257: G+1.5W2;44;130: 1.35G+1.5W5+1.5Q+0.75S2;493;289: G+1.5W6;842;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
996;A_32;0;305: G+1.5W8;0;97: 1.35G+1.5W+1.5Q+0.75S;-66;145: 1.35G+1.5W7+1.5Q+0.75S;70;257: G+1.5W2;854;249: G+1.5W;1189;55: 1.35G+1.5S+1.5Q+0.9W8;;;;;;;
1402;K_32;0;289: G+1.5W6;0;97: 1.35G+1.5W+1.5Q+0.75S;-73;257: G+1.5W2;69;129: 1.35G+1.5W5+1.5Q+0.75S;845;249: G+1.5W;1193;137: 1.35G+1.5W6+1.5Q+0.75S;;;;;;;
997;A_33;0;305: G+1.5W8;0;97: 1.35G+1.5W+1.5Q+0.75S;-71;145: 1.35G+1.5W7+1.5Q+0.75S;74;257: G+1.5W2;923;252: G+1.5W+0.75S2;1339;149: 1.35G+1.5W8+1.5Q;;;;;;;
1409;K_33;0;132: 1.35G+1.5W6;0;254: G+1.5W+1.5Q+0.75S;-80;258: G+1.5W2+1.5Q;78;126: 1.35G+1.5W5+0.75S;903;252: G+1.5W+0.75S2;1353;133: 1.35G+1.5W6+1.5Q;;;;;;;
998;A_34;0;305: G+1.5W8;0;97: 1.35G+1.5W+1.5Q+0.75S;-74;142: 1.35G+1.5W7+0.75S;75;258: G+1.5W2+1.5Q;930;252: G+1.5W+0.75S2;1333;149: 1.35G+1.5W8+1.5Q;;;;;;;
1414;K_34;0;132: 1.35G+1.5W6;0;256: G+1.5W+1.5Q+0.75S3;-86;258: G+1.5W2+1.5Q;85;126: 1.35G+1.5W5+0.75S;913;252: G+1.5W+0.75S2;1343;133: 1.35G+1.5W6+1.5Q;;;;;;;
