Tableau des réactions d'appui;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;
Point;Nom point;Cas;RFx;RFy;RFz
-;-;-;daN;daN;daN
989;A_11;1-G;0;1;344
989;A_11;2-Q;0;0;0
989;A_11;3-S;0;1;53
989;A_11;13-W;0;5;13
989;A_11;15-W3;0;27;-39
989;A_11;17-W5;0;1;13
989;A_11;19-W7;0;-30;-38
1309;K_11;1-G;0;-1;344
1309;K_11;2-Q;0;0;0
1309;K_11;3-S;0;-1;53
1309;K_11;13-W;0;-5;13
1309;K_11;15-W3;0;-27;-39
1309;K_11;17-W5;0;30;-38
1309;K_11;19-W7;0;-1;13
990;A_12;1-G;0;1;468
990;A_12;2-Q;0;0;0
990;A_12;3-S;0;0;3
990;A_12;13-W;0;5;1
990;A_12;15-W3;0;45;-2
990;A_12;17-W5;0;1;0
990;A_12;19-W7;0;-32;-1
1306;K_12;1-G;0;-1;468
1306;K_12;2-Q;0;0;0
1306;K_12;3-S;0;0;3
1306;K_12;13-W;0;-5;1
1306;K_12;15-W3;0;-45;-2
1306;K_12;17-W5;0;32;-1
1306;K_12;19-W7;0;-1;0
991;A_13;1-G;0;1;515
991;A_13;2-Q;0;0;0
991;A_13;3-S;0;0;-6
991;A_13;13-W;0;4;-1
991;A_13;15-W3;0;49;4
991;A_13;17-W5;0;1;-2
991;A_13;19-W7;0;-29;6
1313;K_13;1-G;0;-1;514
1313;K_13;2-Q;0;0;0
1313;K_13;3-S;0;0;-6
1313;K_13;13-W;0;-4;-1
1313;K_13;15-W3;0;-49;4
1313;K_13;17-W5;0;29;6
1313;K_13;19-W7;0;-1;-2
992;A_14;1-G;0;1;507
992;A_14;2-Q;0;0;0
992;A_14;3-S;0;0;-8
992;A_14;13-W;0;4;-2
992;A_14;15-W3;0;49;4
992;A_14;17-W5;0;2;-1
992;A_14;19-W7;0;-29;5
1332;K_14;1-G;0;-1;507
1332;K_14;2-Q;0;0;0
1332;K_14;3-S;0;0;-8
1332;K_14;13-W;0;-4;-2
1332;K_14;15-W3;0;-49;4
1332;K_14;17-W5;0;29;5
1332;K_14;19-W7;0;-2;-1
993;A_15;1-G;0;1;478
993;A_15;2-Q;0;0;0
993;A_15;3-S;0;0;7
993;A_15;13-W;0;6;2
993;A_15;15-W3;0;45;-3
993;A_15;17-W5;0;3;1
993;A_15;19-W7;0;-34;-3
1337;K_15;1-G;0;-1;477
1337;K_15;2-Q;0;0;0
1337;K_15;3-S;0;0;7
1337;K_15;13-W;0;-6;3
1337;K_15;15-W3;0;-46;-3
1337;K_15;17-W5;0;34;-3
1337;K_15;19-W7;0;-3;1
994;A_16;1-G;0;2;391
994;A_16;2-Q;0;0;0
994;A_16;3-S;0;1;89
994;A_16;13-W;0;9;22
994;A_16;15-W3;0;29;-41
994;A_16;17-W5;0;7;22
994;A_16;19-W7;0;-39;-64
1352;K_16;1-G;0;-2;391
1352;K_16;2-Q;0;0;0
1352;K_16;3-S;0;-1;89
1352;K_16;13-W;0;-9;22
1352;K_16;15-W3;0;-29;-41
1352;K_16;17-W5;0;40;-64
1352;K_16;19-W7;0;-6;22
1176;A_21;1-G;0;2;383
1176;A_21;2-Q;0;0;0
1176;A_21;3-S;0;1;88
1176;A_21;13-W;0;9;22
1176;A_21;15-W3;0;29;-41
1176;A_21;17-W5;0;7;22
1176;A_21;19-W7;0;-39;-64
1356;K_21;1-G;0;-2;383
1356;K_21;2-Q;0;0;0
1356;K_21;3-S;0;-1;88
1356;K_21;13-W;0;-9;22
1356;K_21;15-W3;0;-29;-41
1356;K_21;17-W5;0;40;-64
1356;K_21;19-W7;0;-7;22
1177;A_22;1-G;0;1;482
1177;A_22;2-Q;0;0;0
1177;A_22;3-S;0;0;5
1177;A_22;13-W;0;6;2
1177;A_22;15-W3;0;44;-3
1177;A_22;17-W5;0;4;0
1177;A_22;19-W7;0;-35;-2
1302;K_22;1-G;0;-1;481
1302;K_22;2-Q;0;0;0
1302;K_22;3-S;0;0;5
1302;K_22;13-W;0;-7;2
1302;K_22;15-W3;0;-44;-3
1302;K_22;17-W5;0;35;-2
1302;K_22;19-W7;0;-4;0
1178;A_23;1-G;0;0;515
1178;A_23;2-Q;0;0;0
1178;A_23;3-S;0;0;-9
1178;A_23;13-W;0;5;-2
1178;A_23;15-W3;0;47;3
1178;A_23;17-W5;0;3;-2
1178;A_23;19-W7;0;-31;6
1323;K_23;1-G;0;0;516
1323;K_23;2-Q;0;0;0
1323;K_23;3-S;0;0;-9
1323;K_23;13-W;0;-6;-3
1323;K_23;15-W3;0;-47;3
1323;K_23;17-W5;0;32;6
1323;K_23;19-W7;0;-4;-2
1179;A_24;1-G;0;0;505
1179;A_24;2-Q;0;0;0
1179;A_24;3-S;0;0;-9
1179;A_24;13-W;0;5;-2
1179;A_24;15-W3;0;46;3
1179;A_24;17-W5;0;4;-2
1179;A_24;19-W7;0;-33;6
1366;K_24;1-G;0;0;505
1366;K_24;2-Q;0;0;0
1366;K_24;3-S;0;0;-9
1366;K_24;13-W;0;-6;-2
