Tableau des réactions d'appui;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;
Point;Nom point;Cas;RFx;RFy;RFz
-;-;-;daN;daN;daN
27;K_8;15-W3;-283;-132;-846
27;K_8;17-W5;-1227;287;-3467
27;K_8;19-W7;-744;-35;-2357
9;A_9;1-G;-1;-4;2402
9;A_9;2-Q;0;1;2
9;A_9;3-S;-1;-5;469
9;A_9;13-W;-11;213;-208
9;A_9;15-W3;1;168;105
9;A_9;17-W5;3;70;59
9;A_9;19-W7;3;-418;-109
31;K_9;1-G;0;1;1828
31;K_9;2-Q;0;0;1
31;K_9;3-S;-1;2;371
31;K_9;13-W;-7;-149;-181
31;K_9;15-W3;1;-122;90
31;K_9;17-W5;2;280;-120
31;K_9;19-W7;2;-28;67
10;A_10;1-G;-130;7;3344
10;A_10;2-Q;3;1;-16
10;A_10;3-S;119;4;-342
10;A_10;13-W;3023;406;-10170
10;A_10;15-W3;-326;90;1196
10;A_10;17-W5;-798;53;3005
10;A_10;19-W7;-1177;-459;3107
26;K_10;1-G;-217;-3;2995
26;K_10;2-Q;3;0;-13
26;K_10;3-S;78;-2;-250
26;K_10;13-W;2983;-325;-9724
26;K_10;15-W3;-325;-72;1135
26;K_10;17-W5;-1172;359;3106
26;K_10;19-W7;-776;-25;2796
32;K_11;1-G;77;-2399;8190
32;K_11;2-Q;0;-9;13
32;K_11;3-S;1;-666;1410
32;K_11;13-W;19;488;-2079
32;K_11;15-W3;0;-253;605
32;K_11;17-W5;-21;2258;-5365
32;K_11;19-W7;-2;-2328;5993
11;A_11;1-G;76;2394;8179
11;A_11;2-Q;0;8;11
11;A_11;3-S;1;666;1410
11;A_11;13-W;21;-542;-2202
11;A_11;15-W3;0;279;678
11;A_11;17-W5;-3;2329;6011
11;A_11;19-W7;-21;-2281;-5455
36;B_11;1-G;-76;87;13811
36;B_11;2-Q;-2;0;41
36;B_11;3-S;-129;9;3374
36;B_11;13-W;506;-5;-931
36;B_11;15-W3;-22;2;639
36;B_11;17-W5;-157;3;1606
36;B_11;19-W7;-396;1;-1629
38;C_11;1-G;-60;-1738;19373
38;C_11;2-Q;-3;-4;85
38;C_11;3-S;-144;-366;5115
38;C_11;13-W;637;-292;1351
38;C_11;15-W3;-26;82;610
38;C_11;17-W5;-206;1909;-4142
38;C_11;19-W7;-298;-1822;3223
34;D_11;1-G;-100;5;16516
34;D_11;2-Q;-2;0;65
34;D_11;3-S;-120;2;4604
34;D_11;13-W;568;3;-535
34;D_11;15-W3;-28;0;979
34;D_11;17-W5;-178;-5;1821
34;D_11;19-W7;-269;3;-472
39;E_11;1-G;-50;-1;19471
39;E_11;2-Q;0;0;0
39;E_11;3-S;-140;0;4952
39;E_11;13-W;717;0;-633
39;E_11;15-W3;-32;0;1074
39;E_11;17-W5;-313;7;1582
39;E_11;19-W7;-419;-6;2119
35;F_11;1-G;-110;0;16664
35;F_11;2-Q;0;0;2
35;F_11;3-S;-119;0;4604
35;F_11;13-W;594;0;-569
35;F_11;15-W3;-32;0;998
35;F_11;17-W5;-347;-4;1755
35;F_11;19-W7;-347;4;1767
33;G_11;1-G;-50;1;19461
33;G_11;2-Q;0;0;-2
33;G_11;3-S;-140;0;4956
33;G_11;13-W;720;0;-689
33;G_11;15-W3;-31;0;1041
33;G_11;17-W5;-421;6;2150
33;G_11;19-W7;-314;-7;1601
37;H_11;1-G;-100;-5;16516
37;H_11;2-Q;-2;0;65
37;H_11;3-S;-120;-2;4604
37;H_11;13-W;570;-3;-535
37;H_11;15-W3;-28;0;980
37;H_11;17-W5;-270;-3;-472
37;H_11;19-W7;-179;5;1821
40;I_11;1-G;-60;1732;19364
40;I_11;2-Q;-3;3;84
40;I_11;3-S;-144;366;5114
40;I_11;13-W;639;234;1235
40;I_11;15-W3;-27;-61;699
40;I_11;17-W5;-298;1809;3095
40;I_11;19-W7;-207;-1913;-4107
41;J_11;1-G;-75;-87;13809
41;J_11;2-Q;-2;0;41
41;J_11;3-S;-129;-9;3374
41;J_11;13-W;509;5;-939
41;J_11;15-W3;-22;-2;624
41;J_11;17-W5;-399;-1;-1594
41;J_11;19-W7;-157;-3;1592
Total;Total;1-G;-6;7;301454
Total;Total;2-Q;0;1;643
Total;Total;3-S;-4;-3;93402
Total;Total;13-W;32469;468;2020
Total;Total;15-W3;-3035;469;-530
Total;Total;17-W5;-11446;19692;13508
Total;Total;19-W7;-11445;-20629;13318
